Crime Description,City,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Severity Score
FRAUD,Nagpur,69,M,Unknown,Other Crime,14,No,4
ILLEGAL POSSESSION,Nashik,59,M,Knife,Other Crime,13,No,5
KIDNAPPING,Chennai,31,M,Unknown,Other Crime,15,No,9
ILLEGAL POSSESSION,Indore,46,F,Explosives,Other Crime,7,No,5
COUNTERFEITING,Bangalore,28,M,Poison,Other Crime,19,Yes,4
EXTORTION,Ghaziabad,62,F,Knife,Other Crime,19,No,7
FIREARM OFFENSE,Delhi,36,F,Knife,Fire Accident,15,No,8
SEXUAL ASSAULT,Delhi,24,F,Blunt Object,Violent Crime,8,No,9
DOMESTIC VIOLENCE,Meerut,36,F,Other,Violent Crime,8,Yes,8
DRUG OFFENSE,Delhi,28,F,Other,Other Crime,11,No,6
BURGLARY,Lucknow,29,F,Blunt Object,Other Crime,19,Yes,6
BURGLARY,Indore,44,M,Blunt Object,Other Crime,18,Yes,6
BURGLARY,Mumbai,27,F,Unknown,Other Crime,12,Yes,6
DRUG OFFENSE,Delhi,19,F,Knife,Other Crime,8,No,6
DRUG OFFENSE,Ghaziabad,36,F,Blunt Object,Other Crime,2,Yes,6
IDENTITY THEFT,Surat,69,F,Blunt Object,Violent Crime,6,Yes,4
IDENTITY THEFT,Mumbai,63,F,Poison,Violent Crime,3,Yes,4
SEXUAL ASSAULT,Kanpur,38,F,Other,Violent Crime,18,No,9
ILLEGAL POSSESSION,Thane,73,F,Explosives,Other Crime,9,No,5
COUNTERFEITING,Pune,57,M,Poison,Other Crime,9,No,4
IDENTITY THEFT,Mumbai,45,F,Firearm,Violent Crime,11,No,4
COUNTERFEITING,Indore,13,F,Poison,Other Crime,17,No,4
TRAFFIC VIOLATION,Rajkot,59,F,Poison,Traffic Fatality,12,Yes,2
IDENTITY THEFT,Pune,79,F,Other,Violent Crime,19,Yes,4
COUNTERFEITING,Nagpur,19,M,Explosives,Other Crime,12,No,4
COUNTERFEITING,Delhi,51,F,Firearm,Other Crime,19,No,4
ILLEGAL POSSESSION,Delhi,54,F,Knife,Other Crime,17,Yes,5
VEHICLE - STOLEN,Lucknow,54,M,Poison,Violent Crime,10,No,5
CYBERCRIME,Mumbai,56,M,Other,Other Crime,9,No,5
SHOPLIFTING,Ahmedabad,65,F,Other,Other Crime,4,No,2
DOMESTIC VIOLENCE,Delhi,35,F,Explosives,Violent Crime,8,No,8
BURGLARY,Chennai,69,M,Explosives,Other Crime,7,No,6
ROBBERY,Jaipur,78,F,Firearm,Violent Crime,1,Yes,8
COUNTERFEITING,Kanpur,19,F,Explosives,Other Crime,1,No,4
TRAFFIC VIOLATION,Mumbai,67,F,Knife,Traffic Fatality,19,No,2
DRUG OFFENSE,Meerut,66,F,Knife,Other Crime,3,No,6
BURGLARY,Agra,36,F,Unknown,Other Crime,12,Yes,6
COUNTERFEITING,Kolkata,52,M,Other,Other Crime,15,No,4
IDENTITY THEFT,Varanasi,77,F,Explosives,Violent Crime,6,No,4
IDENTITY THEFT,Pune,38,F,Unknown,Violent Crime,9,Yes,4
BURGLARY,Srinagar,14,F,Poison,Other Crime,7,Yes,6
EXTORTION,Hyderabad,69,M,Other,Other Crime,1,No,7
DOMESTIC VIOLENCE,Varanasi,52,F,Poison,Violent Crime,19,Yes,8
PUBLIC INTOXICATION,Kanpur,72,M,Explosives,Other Crime,18,No,1
SHOPLIFTING,Chennai,49,F,Explosives,Other Crime,11,Yes,2
FIREARM OFFENSE,Kolkata,29,M,Poison,Fire Accident,7,Yes,8
KIDNAPPING,Mumbai,46,M,Knife,Other Crime,17,Yes,9
VEHICLE - STOLEN,Bangalore,60,F,Other,Violent Crime,12,Yes,5
FRAUD,Delhi,30,F,Unknown,Other Crime,14,No,4
VEHICLE - STOLEN,Patna,52,F,Knife,Violent Crime,2,Yes,5
COUNTERFEITING,Ahmedabad,23,F,Knife,Other Crime,10,No,4
SHOPLIFTING,Thane,47,F,Explosives,Other Crime,9,Yes,2
ROBBERY,Delhi,36,M,Knife,Violent Crime,2,Yes,8
DOMESTIC VIOLENCE,Ludhiana,40,M,Knife,Violent Crime,16,Yes,8
ROBBERY,Jaipur,12,F,Unknown,Violent Crime,17,Yes,8
SEXUAL ASSAULT,Ghaziabad,66,F,Unknown,Violent Crime,15,No,9
BURGLARY,Chennai,33,F,Other,Other Crime,1,No,6
KIDNAPPING,Hyderabad,28,M,Unknown,Other Crime,9,Yes,9
TRAFFIC VIOLATION,Mumbai,40,F,Knife,Traffic Fatality,19,No,2
ILLEGAL POSSESSION,Lucknow,45,M,Unknown,Other Crime,9,Yes,5
CYBERCRIME,Kolkata,73,F,Blunt Object,Other Crime,16,No,5
EXTORTION,Hyderabad,29,F,Explosives,Other Crime,15,Yes,7
FIREARM OFFENSE,Bangalore,33,F,Poison,Fire Accident,3,Yes,8
ILLEGAL POSSESSION,Hyderabad,16,M,Other,Other Crime,2,No,5
BURGLARY,Delhi,46,F,Blunt Object,Other Crime,5,Yes,6
IDENTITY THEFT,Jaipur,14,F,Other,Violent Crime,9,Yes,4
ILLEGAL POSSESSION,Mumbai,76,F,Firearm,Other Crime,8,No,5
BURGLARY,Kalyan,61,M,Explosives,Other Crime,14,No,6
SEXUAL ASSAULT,Jaipur,45,M,Poison,Violent Crime,4,No,9
FRAUD,Jaipur,13,F,Poison,Other Crime,18,Yes,4
BURGLARY,Delhi,53,F,Knife,Other Crime,7,Yes,6
ROBBERY,Surat,17,M,Unknown,Violent Crime,6,No,8
PUBLIC INTOXICATION,Delhi,18,F,Other,Other Crime,10,Yes,1
BURGLARY,Delhi,18,F,Unknown,Other Crime,4,No,6
DRUG OFFENSE,Meerut,79,F,Firearm,Other Crime,10,Yes,6
VANDALISM,Mumbai,28,M,Blunt Object,Other Crime,8,No,3
FIREARM OFFENSE,Delhi,79,F,Unknown,Fire Accident,1,No,8
SEXUAL ASSAULT,Jaipur,78,F,Unknown,Violent Crime,19,Yes,9
VEHICLE - STOLEN,Nagpur,22,F,Blunt Object,Violent Crime,12,No,5
ILLEGAL POSSESSION,Hyderabad,31,F,Unknown,Other Crime,6,Yes,5
SEXUAL ASSAULT,Rajkot,54,M,Unknown,Violent Crime,6,No,9
KIDNAPPING,Surat,35,F,Other,Other Crime,4,Yes,9
VEHICLE - STOLEN,Chennai,64,F,Unknown,Violent Crime,16,Yes,5
COUNTERFEITING,Pune,30,F,Explosives,Other Crime,15,Yes,4
SEXUAL ASSAULT,Delhi,69,M,Unknown,Violent Crime,13,No,9
IDENTITY THEFT,Delhi,42,F,Poison,Violent Crime,16,No,4
FIREARM OFFENSE,Bhopal,68,M,Firearm,Fire Accident,11,Yes,8
ROBBERY,Kolkata,55,F,Unknown,Violent Crime,3,Yes,8
CYBERCRIME,Mumbai,70,F,Knife,Other Crime,13,Yes,5
CYBERCRIME,Hyderabad,68,F,Poison,Other Crime,14,Yes,5
BURGLARY,Jaipur,56,F,Blunt Object,Other Crime,7,No,6
VANDALISM,Pune,62,M,Knife,Other Crime,18,Yes,3
ARSON,Mumbai,62,M,Poison,Fire Accident,6,Yes,9
CYBERCRIME,Pune,44,F,Poison,Other Crime,19,No,5
COUNTERFEITING,Surat,58,M,Blunt Object,Other Crime,7,Yes,4
FRAUD,Kolkata,27,M,Blunt Object,Other Crime,19,No,4
SHOPLIFTING,Kolkata,73,F,Blunt Object,Other Crime,18,No,2
COUNTERFEITING,Visakhapatnam,54,M,Blunt Object,Other Crime,5,Yes,4
DOMESTIC VIOLENCE,Pune,59,F,Explosives,Violent Crime,17,Yes,8
FRAUD,Delhi,27,F,Unknown,Other Crime,10,Yes,4
ARSON,Indore,53,F,Other,Fire Accident,1,Yes,9
FRAUD,Chennai,39,M,Knife,Other Crime,13,Yes,4
DRUG OFFENSE,Delhi,67,F,Blunt Object,Other Crime,12,Yes,6
ARSON,Patna,74,F,Knife,Fire Accident,1,Yes,9
TRAFFIC VIOLATION,Ghaziabad,72,F,Other,Traffic Fatality,15,No,2
COUNTERFEITING,Pune,58,M,Unknown,Other Crime,16,No,4
ILLEGAL POSSESSION,Kanpur,76,F,Firearm,Other Crime,14,No,5
PUBLIC INTOXICATION,Ludhiana,43,F,Knife,Other Crime,17,Yes,1
COUNTERFEITING,Nagpur,45,M,Blunt Object,Other Crime,6,Yes,4
FIREARM OFFENSE,Agra,28,F,Blunt Object,Fire Accident,10,No,8
SEXUAL ASSAULT,Delhi,67,F,Explosives,Violent Crime,4,No,9
ROBBERY,Hyderabad,47,M,Other,Violent Crime,9,Yes,8
BURGLARY,Mumbai,77,F,Firearm,Other Crime,6,No,6
SHOPLIFTING,Meerut,57,M,Other,Other Crime,17,Yes,2
BURGLARY,Kolkata,54,F,Other,Other Crime,17,No,6
SEXUAL ASSAULT,Bangalore,39,F,Unknown,Violent Crime,9,Yes,9
HOMICIDE,Ahmedabad,12,M,Poison,Other Crime,7,Yes,10
VEHICLE - STOLEN,Hyderabad,24,F,Explosives,Violent Crime,11,No,5
FRAUD,Surat,17,M,Knife,Other Crime,9,No,4
TRAFFIC VIOLATION,Hyderabad,11,F,Unknown,Traffic Fatality,10,No,2
BURGLARY,Ghaziabad,15,M,Other,Other Crime,17,Yes,6
EXTORTION,Delhi,48,M,Firearm,Other Crime,3,No,7
CYBERCRIME,Chennai,32,F,Poison,Other Crime,3,Yes,5
IDENTITY THEFT,Delhi,65,M,Explosives,Violent Crime,11,No,4
COUNTERFEITING,Mumbai,21,F,Unknown,Other Crime,19,No,4
SHOPLIFTING,Chennai,60,M,Other,Other Crime,3,Yes,2
DRUG OFFENSE,Delhi,40,F,Blunt Object,Other Crime,9,No,6
VANDALISM,Ahmedabad,54,F,Other,Other Crime,13,No,3
VEHICLE - STOLEN,Mumbai,28,F,Firearm,Violent Crime,17,Yes,5
IDENTITY THEFT,Jaipur,63,F,Firearm,Violent Crime,19,Yes,4
FIREARM OFFENSE,Ludhiana,21,M,Explosives,Fire Accident,12,No,8
VEHICLE - STOLEN,Kolkata,75,M,Firearm,Violent Crime,6,Yes,5
BURGLARY,Mumbai,16,F,Poison,Other Crime,7,No,6
BURGLARY,Bangalore,31,F,Explosives,Other Crime,3,Yes,6
ARSON,Chennai,67,F,Knife,Fire Accident,3,Yes,9
SHOPLIFTING,Mumbai,18,M,Unknown,Other Crime,19,Yes,2
IDENTITY THEFT,Bangalore,59,F,Blunt Object,Violent Crime,4,No,4
ASSAULT,Bangalore,41,F,Blunt Object,Violent Crime,1,No,8
SHOPLIFTING,Pune,70,F,Blunt Object,Other Crime,19,Yes,2
CYBERCRIME,Nagpur,62,F,Other,Other Crime,6,No,5
HOMICIDE,Kolkata,16,F,Explosives,Other Crime,5,Yes,10
SEXUAL ASSAULT,Chennai,32,F,Blunt Object,Violent Crime,2,No,9
COUNTERFEITING,Jaipur,10,F,Poison,Other Crime,19,No,4
ARSON,Delhi,48,M,Other,Fire Accident,18,No,9
DRUG OFFENSE,Delhi,58,M,Firearm,Other Crime,4,No,6
KIDNAPPING,Meerut,26,F,Explosives,Other Crime,19,No,9
PUBLIC INTOXICATION,Meerut,65,F,Poison,Other Crime,10,Yes,1
EXTORTION,Jaipur,71,F,Unknown,Other Crime,11,Yes,7
COUNTERFEITING,Nashik,62,M,Other,Other Crime,6,Yes,4
COUNTERFEITING,Jaipur,43,F,Other,Other Crime,3,Yes,4
FRAUD,Delhi,69,M,Explosives,Other Crime,10,Yes,4
FIREARM OFFENSE,Kalyan,12,F,Blunt Object,Fire Accident,10,No,8
HOMICIDE,Bangalore,19,F,Unknown,Other Crime,4,No,10
FIREARM OFFENSE,Delhi,26,F,Blunt Object,Fire Accident,1,No,8
SEXUAL ASSAULT,Chennai,66,F,Blunt Object,Violent Crime,8,No,9
ROBBERY,Mumbai,73,F,Firearm,Violent Crime,2,Yes,8
ARSON,Meerut,61,F,Unknown,Fire Accident,5,No,9
COUNTERFEITING,Ludhiana,64,M,Firearm,Other Crime,19,Yes,4
VEHICLE - STOLEN,Delhi,34,F,Other,Violent Crime,2,Yes,5
SHOPLIFTING,Delhi,47,F,Knife,Other Crime,2,No,2
HOMICIDE,Hyderabad,11,F,Explosives,Other Crime,12,Yes,10
VANDALISM,Lucknow,14,F,Blunt Object,Other Crime,1,No,3
COUNTERFEITING,Vasai,38,F,Poison,Other Crime,9,Yes,4
VANDALISM,Hyderabad,43,F,Other,Other Crime,7,No,3
KIDNAPPING,Bangalore,22,F,Poison,Other Crime,5,No,9
FIREARM OFFENSE,Ahmedabad,13,M,Explosives,Fire Accident,2,Yes,8
DOMESTIC VIOLENCE,Visakhapatnam,33,M,Other,Violent Crime,4,Yes,8
HOMICIDE,Rajkot,49,M,Knife,Other Crime,16,Yes,10
COUNTERFEITING,Delhi,74,M,Other,Other Crime,8,Yes,4
VEHICLE - STOLEN,Chennai,47,F,Poison,Violent Crime,3,No,5
EXTORTION,Pune,68,F,Knife,Other Crime,4,Yes,7
SEXUAL ASSAULT,Kolkata,26,M,Poison,Violent Crime,7,Yes,9
IDENTITY THEFT,Pune,34,M,Blunt Object,Violent Crime,4,No,4
ILLEGAL POSSESSION,Mumbai,52,M,Other,Other Crime,3,No,5
ARSON,Patna,59,F,Other,Fire Accident,14,No,9
COUNTERFEITING,Mumbai,29,M,Firearm,Other Crime,14,Yes,4
CYBERCRIME,Delhi,11,M,Blunt Object,Other Crime,5,No,5
KIDNAPPING,Ahmedabad,78,F,Firearm,Other Crime,17,No,9
PUBLIC INTOXICATION,Jaipur,24,F,Other,Other Crime,3,Yes,1
VEHICLE - STOLEN,Ghaziabad,31,F,Firearm,Violent Crime,15,No,5
BURGLARY,Kolkata,14,F,Other,Other Crime,2,No,6
ILLEGAL POSSESSION,Mumbai,64,M,Blunt Object,Other Crime,9,Yes,5
ASSAULT,Chennai,73,F,Knife,Violent Crime,1,No,8
ASSAULT,Ludhiana,48,M,Poison,Violent Crime,9,No,8
FIREARM OFFENSE,Mumbai,30,M,Firearm,Fire Accident,13,Yes,8
ILLEGAL POSSESSION,Mumbai,61,F,Knife,Other Crime,3,No,5
SEXUAL ASSAULT,Ghaziabad,13,F,Explosives,Violent Crime,9,Yes,9
ROBBERY,Mumbai,79,F,Knife,Violent Crime,9,Yes,8
TRAFFIC VIOLATION,Pune,36,M,Knife,Traffic Fatality,18,No,2
KIDNAPPING,Ludhiana,11,F,Explosives,Other Crime,17,Yes,9
KIDNAPPING,Hyderabad,37,M,Knife,Other Crime,13,No,9
TRAFFIC VIOLATION,Nagpur,43,F,Unknown,Traffic Fatality,2,Yes,2
ROBBERY,Ludhiana,51,F,Firearm,Violent Crime,5,Yes,8
ROBBERY,Bangalore,53,F,Knife,Violent Crime,7,No,8
PUBLIC INTOXICATION,Nagpur,71,F,Other,Other Crime,5,No,1
VANDALISM,Chennai,75,M,Explosives,Other Crime,17,No,3
VANDALISM,Kolkata,20,M,Poison,Other Crime,17,No,3
SHOPLIFTING,Jaipur,61,F,Knife,Other Crime,3,Yes,2
PUBLIC INTOXICATION,Mumbai,27,M,Knife,Other Crime,10,No,1
VANDALISM,Pune,63,F,Other,Other Crime,11,No,3
KIDNAPPING,Chennai,48,M,Other,Other Crime,9,No,9
VEHICLE - STOLEN,Hyderabad,30,F,Unknown,Violent Crime,7,No,5
SEXUAL ASSAULT,Kolkata,73,F,Firearm,Violent Crime,18,Yes,9
FIREARM OFFENSE,Mumbai,67,F,Other,Fire Accident,13,No,8
ASSAULT,Indore,10,F,Knife,Violent Crime,17,Yes,8
CYBERCRIME,Visakhapatnam,21,F,Knife,Other Crime,18,Yes,5
ARSON,Bangalore,75,F,Unknown,Fire Accident,4,No,9
VEHICLE - STOLEN,Vasai,44,F,Explosives,Violent Crime,2,No,5
DRUG OFFENSE,Delhi,31,F,Unknown,Other Crime,9,Yes,6
IDENTITY THEFT,Ahmedabad,13,F,Unknown,Violent Crime,4,Yes,4
FIREARM OFFENSE,Varanasi,30,F,Firearm,Fire Accident,18,Yes,8
VEHICLE - STOLEN,Hyderabad,51,F,Other,Violent Crime,11,No,5
IDENTITY THEFT,Mumbai,27,F,Firearm,Violent Crime,3,No,4
ROBBERY,Kanpur,21,F,Unknown,Violent Crime,2,No,8
FIREARM OFFENSE,Ludhiana,56,F,Knife,Fire Accident,13,No,8
PUBLIC INTOXICATION,Bangalore,72,M,Firearm,Other Crime,2,No,1
VANDALISM,Delhi,69,M,Poison,Other Crime,4,Yes,3
EXTORTION,Pune,13,M,Other,Other Crime,4,Yes,7
BURGLARY,Mumbai,22,F,Poison,Other Crime,8,No,6
DRUG OFFENSE,Ludhiana,25,F,Knife,Other Crime,7,No,6
PUBLIC INTOXICATION,Agra,40,F,Poison,Other Crime,4,No,1
ARSON,Chennai,16,F,Firearm,Fire Accident,3,No,9
BURGLARY,Jaipur,59,M,Unknown,Other Crime,4,Yes,6
SHOPLIFTING,Nagpur,65,F,Knife,Other Crime,2,No,2
KIDNAPPING,Jaipur,53,F,Knife,Other Crime,5,Yes,9
IDENTITY THEFT,Kolkata,16,M,Blunt Object,Violent Crime,7,Yes,4
ROBBERY,Bangalore,20,F,Poison,Violent Crime,14,No,8
CYBERCRIME,Bangalore,65,F,Other,Other Crime,8,No,5
VEHICLE - STOLEN,Hyderabad,24,M,Blunt Object,Violent Crime,7,No,5
EXTORTION,Srinagar,55,F,Explosives,Other Crime,11,No,7
SHOPLIFTING,Bangalore,11,F,Poison,Other Crime,9,Yes,2
PUBLIC INTOXICATION,Pune,12,F,Explosives,Other Crime,14,Yes,1
TRAFFIC VIOLATION,Chennai,35,F,Other,Traffic Fatality,16,Yes,2
DOMESTIC VIOLENCE,Bangalore,70,M,Explosives,Violent Crime,9,Yes,8
IDENTITY THEFT,Mumbai,55,F,Poison,Violent Crime,17,No,4
SHOPLIFTING,Jaipur,41,M,Firearm,Other Crime,12,Yes,2
HOMICIDE,Nagpur,41,F,Firearm,Other Crime,2,Yes,10
ROBBERY,Mumbai,41,F,Knife,Violent Crime,6,Yes,8
VEHICLE - STOLEN,Jaipur,46,F,Unknown,Violent Crime,18,Yes,5
TRAFFIC VIOLATION,Bangalore,78,F,Knife,Traffic Fatality,15,No,2
CYBERCRIME,Chennai,20,F,Explosives,Other Crime,5,Yes,5
ROBBERY,Delhi,15,F,Poison,Violent Crime,3,Yes,8
BURGLARY,Bangalore,70,M,Poison,Other Crime,13,No,6
CYBERCRIME,Jaipur,52,M,Explosives,Other Crime,16,No,5
EXTORTION,Mumbai,38,F,Knife,Other Crime,15,Yes,7
BURGLARY,Lucknow,16,F,Firearm,Other Crime,16,No,6
FRAUD,Pune,32,F,Other,Other Crime,6,Yes,4
COUNTERFEITING,Srinagar,29,M,Unknown,Other Crime,15,Yes,4
FIREARM OFFENSE,Indore,25,F,Other,Fire Accident,17,Yes,8
EXTORTION,Mumbai,46,F,Poison,Other Crime,3,Yes,7
DRUG OFFENSE,Pune,70,F,Explosives,Other Crime,11,Yes,6
PUBLIC INTOXICATION,Delhi,51,M,Other,Other Crime,13,No,1
DRUG OFFENSE,Delhi,42,F,Poison,Other Crime,3,Yes,6
COUNTERFEITING,Bangalore,25,M,Other,Other Crime,18,No,4
EXTORTION,Delhi,34,F,Firearm,Other Crime,9,Yes,7
IDENTITY THEFT,Kolkata,53,M,Explosives,Violent Crime,15,No,4
ILLEGAL POSSESSION,Mumbai,77,F,Firearm,Other Crime,11,Yes,5
DOMESTIC VIOLENCE,Bhopal,48,F,Blunt Object,Violent Crime,14,Yes,8
ROBBERY,Mumbai,46,M,Blunt Object,Violent Crime,7,No,8
PUBLIC INTOXICATION,Srinagar,66,F,Firearm,Other Crime,15,No,1
PUBLIC INTOXICATION,Agra,47,M,Unknown,Other Crime,17,Yes,1
TRAFFIC VIOLATION,Kalyan,77,M,Unknown,Traffic Fatality,18,Yes,2
HOMICIDE,Ahmedabad,12,M,Poison,Other Crime,12,Yes,10
COUNTERFEITING,Kolkata,59,F,Firearm,Other Crime,18,No,4
SHOPLIFTING,Pune,19,M,Unknown,Other Crime,3,Yes,2
SHOPLIFTING,Chennai,18,F,Unknown,Other Crime,3,Yes,2
CYBERCRIME,Delhi,25,F,Poison,Other Crime,7,No,5
CYBERCRIME,Agra,60,F,Knife,Other Crime,8,Yes,5
CYBERCRIME,Mumbai,32,F,Unknown,Other Crime,2,Yes,5
SHOPLIFTING,Chennai,28,F,Knife,Other Crime,10,Yes,2
ROBBERY,Indore,35,F,Blunt Object,Violent Crime,2,No,8
BURGLARY,Lucknow,49,F,Unknown,Other Crime,3,Yes,6
CYBERCRIME,Lucknow,79,F,Poison,Other Crime,9,No,5
DOMESTIC VIOLENCE,Kolkata,37,F,Explosives,Violent Crime,11,Yes,8
PUBLIC INTOXICATION,Delhi,77,M,Knife,Other Crime,8,No,1
FIREARM OFFENSE,Delhi,31,F,Knife,Fire Accident,15,No,8
DRUG OFFENSE,Bangalore,75,F,Knife,Other Crime,5,No,6
BURGLARY,Pune,72,M,Blunt Object,Other Crime,10,No,6
COUNTERFEITING,Chennai,77,M,Poison,Other Crime,3,Yes,4
ASSAULT,Hyderabad,43,F,Other,Violent Crime,13,Yes,8
ASSAULT,Hyderabad,37,F,Knife,Violent Crime,16,Yes,8
CYBERCRIME,Indore,11,F,Other,Other Crime,2,Yes,5
IDENTITY THEFT,Ghaziabad,22,F,Poison,Violent Crime,4,Yes,4
COUNTERFEITING,Surat,28,M,Other,Other Crime,7,No,4
HOMICIDE,Hyderabad,57,F,Poison,Other Crime,6,Yes,10
VANDALISM,Chennai,62,M,Knife,Other Crime,9,Yes,3
BURGLARY,Ahmedabad,56,M,Poison,Other Crime,1,No,6
SEXUAL ASSAULT,Kolkata,66,F,Explosives,Violent Crime,13,No,9
BURGLARY,Bangalore,38,M,Other,Other Crime,18,No,6
EXTORTION,Kanpur,30,M,Knife,Other Crime,6,Yes,7
SEXUAL ASSAULT,Kolkata,68,F,Explosives,Violent Crime,14,Yes,9
EXTORTION,Ghaziabad,64,M,Poison,Other Crime,3,No,7
VEHICLE - STOLEN,Kanpur,40,F,Other,Violent Crime,12,No,5
IDENTITY THEFT,Kolkata,70,F,Other,Violent Crime,17,Yes,4
COUNTERFEITING,Delhi,18,F,Explosives,Other Crime,15,No,4
COUNTERFEITING,Kolkata,10,F,Firearm,Other Crime,8,No,4
HOMICIDE,Kolkata,12,M,Blunt Object,Other Crime,2,No,10
ASSAULT,Kolkata,33,F,Poison,Violent Crime,10,Yes,8
SHOPLIFTING,Jaipur,22,F,Explosives,Other Crime,15,No,2
SHOPLIFTING,Ghaziabad,54,F,Other,Other Crime,19,Yes,2
BURGLARY,Delhi,32,F,Poison,Other Crime,3,Yes,6
IDENTITY THEFT,Chennai,71,M,Knife,Violent Crime,16,No,4
VEHICLE - STOLEN,Delhi,43,F,Explosives,Violent Crime,4,Yes,5
SEXUAL ASSAULT,Hyderabad,49,M,Explosives,Violent Crime,1,Yes,9
ARSON,Mumbai,54,F,Unknown,Fire Accident,12,Yes,9
TRAFFIC VIOLATION,Kolkata,27,F,Other,Traffic Fatality,17,No,2
TRAFFIC VIOLATION,Delhi,19,M,Poison,Traffic Fatality,8,No,2
PUBLIC INTOXICATION,Pune,51,F,Unknown,Other Crime,13,No,1
KIDNAPPING,Bangalore,56,F,Other,Other Crime,13,No,9
CYBERCRIME,Chennai,33,F,Firearm,Other Crime,18,No,5
PUBLIC INTOXICATION,Kolkata,22,F,Blunt Object,Other Crime,1,No,1
FIREARM OFFENSE,Jaipur,36,F,Other,Fire Accident,4,No,8
COUNTERFEITING,Hyderabad,12,F,Poison,Other Crime,14,No,4
HOMICIDE,Kalyan,26,F,Explosives,Other Crime,12,Yes,10
SEXUAL ASSAULT,Lucknow,55,F,Poison,Violent Crime,12,No,9
VANDALISM,Delhi,25,F,Other,Other Crime,18,Yes,3
SEXUAL ASSAULT,Thane,66,F,Explosives,Violent Crime,16,Yes,9
IDENTITY THEFT,Delhi,55,F,Knife,Violent Crime,17,Yes,4
BURGLARY,Mumbai,24,F,Knife,Other Crime,5,Yes,6
CYBERCRIME,Mumbai,20,F,Unknown,Other Crime,12,No,5
CYBERCRIME,Delhi,50,F,Explosives,Other Crime,14,No,5
PUBLIC INTOXICATION,Mumbai,24,M,Poison,Other Crime,5,No,1
VANDALISM,Ahmedabad,10,F,Poison,Other Crime,16,No,3
ARSON,Mumbai,62,M,Knife,Fire Accident,17,No,9
ILLEGAL POSSESSION,Bangalore,59,F,Firearm,Other Crime,19,No,5
IDENTITY THEFT,Delhi,70,M,Blunt Object,Violent Crime,1,No,4
SEXUAL ASSAULT,Bangalore,62,M,Poison,Violent Crime,6,No,9
SHOPLIFTING,Delhi,71,M,Firearm,Other Crime,8,No,2
ARSON,Pune,32,F,Blunt Object,Fire Accident,5,No,9
ROBBERY,Kanpur,52,F,Knife,Violent Crime,15,Yes,8
DOMESTIC VIOLENCE,Ahmedabad,50,M,Other,Violent Crime,14,Yes,8
BURGLARY,Thane,18,F,Poison,Other Crime,10,Yes,6
FIREARM OFFENSE,Ludhiana,18,F,Explosives,Fire Accident,8,Yes,8
BURGLARY,Nagpur,32,M,Poison,Other Crime,17,No,6
FRAUD,Hyderabad,17,F,Knife,Other Crime,10,No,4
DOMESTIC VIOLENCE,Ahmedabad,76,F,Firearm,Violent Crime,12,No,8
CYBERCRIME,Delhi,27,M,Explosives,Other Crime,13,No,5
ROBBERY,Visakhapatnam,28,F,Knife,Violent Crime,15,Yes,8
VANDALISM,Kolkata,79,M,Knife,Other Crime,6,Yes,3
PUBLIC INTOXICATION,Delhi,55,F,Poison,Other Crime,3,No,1
SEXUAL ASSAULT,Chennai,29,F,Knife,Violent Crime,17,No,9
DOMESTIC VIOLENCE,Thane,69,F,Other,Violent Crime,11,Yes,8
ILLEGAL POSSESSION,Ludhiana,24,M,Explosives,Other Crime,5,Yes,5
VEHICLE - STOLEN,Surat,48,F,Other,Violent Crime,18,No,5
HOMICIDE,Kolkata,35,M,Unknown,Other Crime,15,No,10
TRAFFIC VIOLATION,Mumbai,46,F,Blunt Object,Traffic Fatality,15,Yes,2
SHOPLIFTING,Chennai,32,M,Other,Other Crime,3,No,2
VEHICLE - STOLEN,Delhi,34,F,Blunt Object,Violent Crime,14,No,5
ARSON,Bangalore,10,F,Other,Fire Accident,16,Yes,9
FIREARM OFFENSE,Agra,41,F,Firearm,Fire Accident,13,No,8
PUBLIC INTOXICATION,Bangalore,30,M,Firearm,Other Crime,3,Yes,1
KIDNAPPING,Delhi,54,F,Knife,Other Crime,18,No,9
FIREARM OFFENSE,Mumbai,77,F,Firearm,Fire Accident,19,No,8
ASSAULT,Surat,57,M,Unknown,Violent Crime,1,Yes,8
KIDNAPPING,Ghaziabad,70,F,Unknown,Other Crime,8,No,9
VANDALISM,Chennai,11,M,Blunt Object,Other Crime,3,Yes,3
ARSON,Bangalore,46,F,Knife,Fire Accident,13,Yes,9
COUNTERFEITING,Meerut,47,F,Other,Other Crime,7,Yes,4
ROBBERY,Patna,21,M,Other,Violent Crime,9,Yes,8
PUBLIC INTOXICATION,Delhi,12,M,Blunt Object,Other Crime,10,No,1
EXTORTION,Chennai,23,M,Knife,Other Crime,17,No,7
KIDNAPPING,Patna,17,F,Knife,Other Crime,11,No,9
PUBLIC INTOXICATION,Bangalore,56,F,Other,Other Crime,9,No,1
DRUG OFFENSE,Chennai,42,M,Firearm,Other Crime,18,No,6
CYBERCRIME,Bangalore,11,F,Poison,Other Crime,3,Yes,5
EXTORTION,Surat,51,M,Explosives,Other Crime,10,Yes,7
ASSAULT,Bangalore,51,F,Blunt Object,Violent Crime,11,Yes,8
KIDNAPPING,Bangalore,33,M,Firearm,Other Crime,4,No,9
ROBBERY,Surat,16,M,Poison,Violent Crime,11,Yes,8
